playerID;stint;minutes;rebounds;assists;steals;blocks;turnovers;careerDuration;pos;height;weight;college;birthDate;birthState;birthCountry;ethnicity;target
abdelal01;1.29;457.14;120.86;12.14;10.14;10.0;35.29;7;F-C;82.0;240.0;Duke;1968-06-24;;EGY;B;0.0
abdulka01;1.0;2872.3;872.0;283.0;58.0;159.45;126.35;20;C;85.0;225.0;UCLA;1947-04-16;NY;USA;B;1.0
abdulma01;1.09;1745.64;195.09;323.18;2.36;0.55;0.0;11;G;74.0;185.0;UCLA;1942-04-15;DE;USA;B;0.0
abdulma02;1.0;1736.44;120.78;231.0;54.11;5.11;107.0;9;G;73.0;162.0;Louisiana State;1969-03-09;MS;USA;B;0.0
abdulta01;1.14;683.29;110.0;37.71;26.0;11.71;43.71;8;G-F;78.0;223.0;San Jose State;1974-11-03;;FRA;B;0.0
abdulza01;1.17;918.58;338.75;50.08;10.92;17.08;1.17;12;C-F;81.0;230.0;Iowa State;1946-04-07;NY;USA;B;0.0
abdursh01;1.08;2221.38;479.92;162.23;63.08;49.08;164.15;13;F;81.0;225.0;California;1976-12-11;GA;USA;B;1.0
abernto01;1.17;905.67;168.5;64.0;30.83;10.0;21.5;6;F;79.0;220.0;Indiana;1954-05-06;IN;USA;W;0.0
ackeral01;1.33;78.0;9.67;5.33;2.0;1.33;3.67;3;G;77.0;185.0;Pepperdine;1983-01-21;CA;USA;B;0.0
acresma01;1.14;854.57;217.86;25.71;19.57;14.86;33.57;7;F-C;83.0;220.0;Oral Roberts;1962-11-15;CA;USA;W;0.0
adamsal01;1.0;2092.54;533.62;308.62;99.15;62.23;168.77;13;C-F;81.0;210.0;Oklahoma;1954-07-19;KS;USA;W;1.0
adamsdo01;1.36;1224.91;265.09;91.91;30.36;5.82;7.18;11;F;78.0;210.0;Northwestern;1947-11-27;GA;USA;B;0.0
adamsge01;1.0;1301.0;291.0;105.67;29.33;19.67;97.33;3;F-G;77.0;210.0;Gardner-Webb;1949-05-15;NC;USA;B;0.0
adamsmi01;1.0;1858.73;172.73;382.64;98.27;6.09;127.45;11;G;70.0;162.0;Boston College;1963-01-19;CT;USA;B;0.0
addisra01;1.0;949.5;130.0;56.5;24.67;13.83;46.33;6;F-G;79.0;215.0;Syracuse;1964-07-22;NJ;USA;B;0.0
adelmri01;1.33;1158.56;125.44;178.44;11.78;1.0;0.0;9;G;73.0;175.0;Loyola (CA);1946-06-16;CA;USA;W;0.0
afflaar01;1.0;1770.2;194.2;110.2;35.0;19.0;61.4;5;G;77.0;215.0;UCLA;1985-10-15;CA;USA;B;0.0
agerma01;1.2;100.4;9.2;3.8;1.2;1.2;5.8;5;G;77.0;202.0;Michigan State;1984-02-09;MI;USA;B;0.0
